run_accession	experiment_title	collection_date	country	instrument_platform
ERR12385127	NextSeq 2000 sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-19	Spain	ILLUMINA
ERR12385133	NextSeq 2000 sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-19	Spain	ILLUMINA
ERR12386409	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-21	Spain	ILLUMINA
ERR12386415	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-10-02	Spain	ILLUMINA
ERR12386416	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-25	Spain	ILLUMINA
ERR12386420	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-10-02	Spain	ILLUMINA
ERR12386421	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-26	Spain	ILLUMINA
ERR12386422	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-25	Spain	ILLUMINA
ERR12386424	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-27	Spain	ILLUMINA
ERR12386432	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-25	Spain	ILLUMINA
ERR12386434	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-25	Spain	ILLUMINA
ERR12386446	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-26	Spain	ILLUMINA
ERR12386457	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-09	Spain	ILLUMINA
ERR12386459	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-11	Spain	ILLUMINA
ERR12386460	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-11	Spain	ILLUMINA
ERR12386461	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-12	Spain	ILLUMINA
ERR12386465	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-18	Spain	ILLUMINA
ERR12386474	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-06	Spain	ILLUMINA
ERR12386477	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-23	Spain	ILLUMINA
ERR12386485	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-23	Spain	ILLUMINA
ERR12386490	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-12	Spain	ILLUMINA
ERR12386491	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-14	Spain	ILLUMINA
ERR12386576	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-10-02	Spain	ILLUMINA
ERR12386579	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-10-04	Spain	ILLUMINA
ERR12386583	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-10-08	Spain	ILLUMINA
ERR12386585	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-10-04	Spain	ILLUMINA
ERR12386586	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-10-03	Spain	ILLUMINA
ERR12386589	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-10-02	Spain	ILLUMINA
ERR12386590	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-10-04	Spain	ILLUMINA
ERR12386591	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-10-06	Spain	ILLUMINA
ERR12386592	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-09-28	Spain	ILLUMINA
ERR12386593	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-10-04	Spain	ILLUMINA
ERR12386596	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-10-02	Spain	ILLUMINA
ERR12386599	Illumina MiniSeq sequencing: Whole genome sequencing of SARS-CoV-2 for epidemiological surveillance in Andalusia (Spain)	2023-10-02	Spain	ILLUMINA
